grid,ground_mw,rooftop_mw,new_12m_mw,units
31413,3.344,4.7138,0.6795,601.0
31706,0.0,4.7658,0.4924,445.0
31742,20.7954,13.6748,1.5279,1377.0
32070,80.3862,26.0713,16.2065,2618.0
32485,6.0179,6.863,0.738,860.0
32510,2.9478,9.6608,1.5016,884.0
32536,1.6073,11.9969,1.5884,1358.0
32540,2.669,5.6266,0.6046,450.0
32727,0.0097,12.7025,1.0087,1125.0
32816,6.4706,15.3228,1.3266,1508.0
33003,0.0108,14.292,3.0482,1377.0
33005,2.1408,6.8488,0.7156,894.0
33006,7.9414,16.7012,2.3984,1747.0
33015,3.7005,2.7143,0.4228,194.0
33019,0.0035,10.5503,0.9453,988.0
33025,0.0014,11.9629,1.1176,903.0
33035,9.9534,45.5779,7.1509,4664.0
33036,0.4018,12.7233,1.4259,1434.0
33076,0.0005,0.2843,0.009,13.0
33185,10.4305,13.1904,1.5256,1420.0
33286,0.0106,8.2946,1.1221,1020.0
33318,3.6015,2.7326,0.3502,372.0
33338,40.8728,30.3972,16.049,3014.0
33364,1.9302,15.9638,1.4646,1536.0
33369,0.2702,4.0443,0.3418,437.0
33378,1.6511,15.7579,1.6095,1441.0
33386,2.2456,5.7466,0.1289,160.0
33410,0.0005,1.0194,0.1253,138.0
33476,8.5251,17.8382,2.8013,1695.0
33561,0.0195,22.4601,2.4069,2154.0
33622,0.0,2.3667,0.0572,110.0
33630,0.0073,7.2224,1.0371,1062.0
33737,24.0965,14.8512,3.3232,1550.0
33741,21.6143,30.7222,20.7469,3275.0
34076,1.9795,12.6992,1.4874,1123.0
34078,2.0747,12.1664,0.967,804.0
34400,12.3237,9.8839,0.9939,1021.0
34407,4.401,0.6539,0.0877,94.0
34691,0.0002,4.0729,0.2212,214.0
34793,5.5155,18.5538,1.8205,1817.0
34859,0.6399,18.2329,1.6592,1098.0
35446,0.0,0.2661,0.0049,10.0
35498,5.1046,20.9573,2.5821,2474.0
35781,10.7809,13.0305,1.7852,1499.0
35870,0.8605,19.7523,2.1079,1448.0
36104,18.6905,16.0275,1.6814,1701.0
